iter	Passed	Remaining
420	2497	3434
421	2502	3427
422	2508	3421
423	2513	3414
424	2518	3408
425	2524	3401
426	2529	3394
427	2535	3387
428	2540	3381
429	2546	3375
430	2551	3368
431	2558	3363
432	2563	3357
433	2568	3350
434	2574	3343
435	2579	3336
436	2585	3330
437	2591	3325
438	2597	3318
439	2602	3312
440	2608	3306
441	2614	3300
442	2619	3293
443	2625	3287
444	2630	3281
445	2637	3275
446	2642	3268
447	2647	3262
448	2653	3255
449	2658	3249
450	2664	3243
451	2669	3237
452	2675	3230
453	2680	3224
454	2687	3218
455	2692	3212
456	2697	3205
457	2703	3199
458	2709	3193
459	2715	3187
460	2721	3181
461	2727	3175
462	2733	3169
463	2738	3163
464	2744	3157
465	2750	3152
466	2756	3146
467	2762	3139
468	2769	3135
469	2774	3128
470	2780	3122
471	2786	3117
472	2792	3111
473	2798	3105
474	2804	3099
475	2810	3094
476	2817	3089
477	2823	3083
478	2830	3078
479	2836	3072
480	2842	3067
481	2850	3063
482	2856	3057
483	2862	3052
484	2868	3046
485	2874	3039
486	2880	3034
487	2886	3028
488	2891	3021
489	2897	3015
490	2902	3009
491	2909	3003
492	2915	2997
493	2920	2991
494	2926	2985
495	2931	2979
496	2937	2972
497	2944	2968
498	2950	2962
499	2955	2955
500	2961	2949
501	2966	2943
502	2972	2936
503	2977	2930
504	2983	2924
505	2989	2918
506	2994	2911
507	2999	2905
508	3005	2899
509	3010	2892
510	3016	2886
511	3022	2880
512	3027	2874
513	3032	2867
514	3038	2861
515	3043	2855
516	3049	2848
517	3054	2842
518	3060	2836
519	3065	2829
520	3071	2824
521	3077	2818
522	3082	2811
523	3088	2805
524	3094	2799
525	3099	2793
526	3106	2788
527	3112	2781
528	3117	2775
529	3122	2769
530	3127	2762
531	3134	2757
532	3140	2751
533	3145	2745
534	3151	2739
535	3156	2732
536	3162	2727
537	3168	2720
538	3174	2714
539	3179	2708
540	3184	2702
541	3190	2695
542	3195	2689
543	3201	2683
544	3206	2677
545	3211	2670
546	3217	2664
547	3222	2658
548	3227	2651
549	3234	2646
